Ticket ID,Creation Timestamp,Channel,Category,Priority,Subject,Description
TID-7C4DC9E1,2024-01-01 22:18:00,Phone,Account Management,High,New user invitation link has expired,The manager of our corporate account has left the company. I need to take over ownership. What are the next steps?
TID-A3391F00,2024-01-03 16:54:00,Phone,Product Inquiry,Low,Integration with third-party calendar apps,I want to sync project deadlines from your platform to my Google Calendar. Do you have an integration for that?
TID-474050F1,2024-01-01 22:20:00,Email,Billing & Payment,Medium,How to upgrade my subscription?,I am looking at invoice INV-2025-4900 and I don't understand the charge for 'Service Adjustment'. Can you clarify?
TID-8362A812,2024-01-01 17:53:00,Phone,General Feedback,Low,Love the new reporting dashboard,"As a new user, I found the settings menu difficult to navigate. The icons weren't very intuitive."
TID-C0B38AF8,2024-01-03 00:12:00,Web,Billing & Payment,High,Incorrect amount on invoice,"Invoice INV-2025-4900 shows a total of $318.00, but it should be $155.00. It seems I was double-charged."
TID-856BA68F,2024-01-01 12:35:00,Email,Product Inquiry,Low,Integration with third-party calendar apps,I am often on the go and would love to access my data from a mobile app. Is one available for iOS or Android?
TID-D69BF3D1,2024-01-04 10:20:00,Web,Technical Issue,High,Mobile app drains battery,"I am an admin, but I keep getting a 'Permission Denied' error when I try to upload a PDF file. This started happening today."
TID-22A2992D,2024-01-02 11:15:00,Email,Technical Issue,Medium,Mobile app drains battery,"Every time I click 'Save' on a new project, I get a generic 'Error 500: Internal Server Error'."
TID-A9CA0F83,2024-01-04 05:14:00,Email,Technical Issue,Medium,Dashboard widgets not refreshing,"When I try to access the analytics page page, it takes over a minute to load. Other sites are fine."
TID-00425AA7,2024-01-01 16:03:00,Email,Billing & Payment,Medium,Question about my latest invoice,"My attempt to renew my subscription failed, but my bank statement shows a charge from your company. Please investigate."
TID-8A99C9AF,2024-01-03 22:36:00,Web,Technical Issue,Medium,Dashboard widgets not refreshing,The search feature is not finding documents that I know exist. It seems to be an issue with recently indexed content.
TID-CAF1EE14,2024-01-02 04:36:00,Email,Technical Issue,High,Search functionality not returning all results,The desktop application closes immediately after I launch it. I have already tried reinstalling and restarting. OS: macOS Sonoma.
TID-88D5B86F,2024-01-04 07:00:00,Phone,Technical Issue,High,File export failing for large datasets,The desktop application closes immediately after I launch it. I have already tried reinstalling and restarting. OS: Windows 11.
TID-471592B6,2024-01-02 23:15:00,Email,Account Management,Low,Need to change the primary email,I am no longer using this service and wish to permanently delete my account and all associated data.
TID-55DEAD69,2024-01-04 19:20:00,Phone,Technical Issue,Urgent,Dashboard widgets not refreshing,"When I try to access the user settings page, it takes over a minute to load. Other sites are fine."
TID-139E004E,2024-01-04 05:54:00,Email,Account Management,High,Need to change the primary email,"I sent an invite to a new team member, but the link expired. Can you please resend it to 'new.hire@example.org'?"
TID-B8679015,2024-01-03 19:30:00,API,Product Inquiry,Low,How to export data to PDF?,I would like to add my company logo to the reports I generate. Can I create custom templates?
TID-25F683E4,2024-01-02 08:50:00,Phone,Technical Issue,Urgent,Website is loading very slowly,"I am an admin, but I keep getting a 'Permission Denied' error when I try to upload a PDF file. This started happening today."
TID-6EC50863,2024-01-01 19:16:00,Web,Technical Issue,High,Dashboard widgets not refreshing,Our integration is failing because all calls to the /api/v2/reports endpoint are returning a 503 Service Unavailable error.
TID-07E982F9,2024-01-03 04:42:00,Email,Technical Issue,Low,Website is loading very slowly,"Since the last update, the mobile app is using a significant amount of battery, even in the background. My device is a Samsung Galaxy S24."
TID-97B3597A,2024-01-03 19:00:00,Phone,Account Management,Medium,Process for transferring account ownership,I've tried the 'Forgot Password' link several times for username 'user@example.com' but I'm not receiving the email. I checked my spam folder.
TID-A542D44B,2024-01-04 03:52:00,Email,Technical Issue,Medium,Application crashing on startup,The desktop application closes immediately after I launch it. I have already tried reinstalling and restarting. OS: Ubuntu 22.04.
TID-A6BB8028,2024-01-06 06:00:00,Web,Technical Issue,High,Error message when saving a new project,"I am an admin, but I keep getting a 'Permission Denied' error when I try to upload a PDF file. This started happening today."
TID-84BBF5FF,2024-01-05 01:27:00,Web,Billing & Payment,Low,Payment failed but my card was charged,Could you please provide PDF copies of all invoices for my account (50933) for the last fiscal year?
TID-DBD56E68,2024-01-03 07:30:00,Web,Billing & Payment,High,How to upgrade my subscription?,I am looking at invoice INV-2025-4900 and I don't understand the charge for 'User License Overage'. Can you clarify?
TID-69315B3C,2024-01-03 03:00:00,Web,Technical Issue,High,Mobile app drains battery,The search feature is not finding documents that I know exist. It seems to be an issue with recently indexed content.
TID-B56447A6,2024-01-05 20:44:00,Web,Account Management,High,User account locked,My account is locked due to too many failed login attempts. I need urgent access for a presentation. Please unlock username 'user@example.com'.
TID-44F89A88,2024-01-01 20:55:00,Phone,Technical Issue,Medium,Search functionality not returning all results,The search feature is not finding documents that I know exist. It seems to be an issue with recently indexed content.
TID-FC330B3D,2024-01-02 00:24:00,Web,Account Management,Medium,Need to change the primary email,"I sent an invite to a new team member, but the link expired. Can you please resend it to 'new.user@example.com'?"
TID-24D3EC08,2024-01-05 12:23:00,Email,Technical Issue,High,Mobile app drains battery,"I am an admin, but I keep getting a 'Permission Denied' error when I try to upload a CSV file. This started happening today."
TID-69D10310,2024-01-05 08:12:00,Phone,Billing & Payment,Medium,Payment failed but my card was charged,My credit card company flagged a recent payment attempt to you as fraudulent. Can you confirm your payment processor is secure?
TID-B9113D8C,2024-01-03 13:54:00,Email,Technical Issue,Low,Search functionality not returning all results,"Since the last update, the mobile app is using a significant amount of battery, even in the background. My device is a Samsung Galaxy S24."
TID-1AE526A0,2024-01-03 12:20:00,Phone,Account Management,Medium,New user invitation link has expired,I am no longer using this service and wish to permanently delete my account and all associated data.
TID-48874E3A,2024-01-05 01:45:00,Email,General Feedback,Low,UI is confusing for new users,Just wanted to say that the new reporting dashboard you launched last month is fantastic! It's a huge improvement.
TID-C418683A,2024-01-02 17:24:00,Email,Billing & Payment,Medium,Received fraud alert after payment,I want to upgrade from the 'Standard' plan to the 'Pro' plan. How does proration work?
TID-72563662,2024-01-04 02:42:00,Phone,General Feedback,Low,Love the new reporting dashboard,"As a new user, I found the settings menu difficult to navigate. The icons weren't very intuitive."
TID-4ADE7BAE,2024-01-04 02:22:00,Web,Product Inquiry,Low,Data retention policy clarification,My team is new to your platform and we would like to get up to speed. Do you offer any live training sessions?
TID-D891A674,2024-01-03 09:45:00,Phone,Account Management,Medium,User account locked,My account is locked due to too many failed login attempts. I need urgent access for a presentation. Please unlock username 'user@example.com'.
TID-54C3BAD1,2024-01-06 01:44:00,Email,Billing & Payment,Medium,How to upgrade my subscription?,"Invoice INV-2025-4900 shows a total of $318.00, but it should be $155.00. It seems I was double-charged."
TID-A6686B2C,2024-01-05 19:31:00,Phone,General Feedback,Low,The onboarding process could be improved,"I wanted to thank your support agent, Sarah. She was incredibly helpful and resolved my issue quickly."
TID-28D0C175,2024-01-06 22:54:00,Email,Technical Issue,High,Search functionality not returning all results,"I am an admin, but I keep getting a 'Permission Denied' error when I try to upload a ZIP archive file. This started happening today."
TID-CCE1CE79,2024-01-07 11:09:00,Phone,Technical Issue,Medium,API returning 503 errors,"When I try to access the user settings page, it takes over a minute to load. Other sites are fine."
TID-478A1308,2024-01-01 23:40:00,Email,Product Inquiry,Low,Is it possible to customize report templates?,My team is new to your platform and we would like to get up to speed. Do you offer any live training sessions?
TID-FFD3A447,2024-01-05 11:33:00,Email,Technical Issue,Medium,Search functionality not returning all results,Our integration is failing because all calls to the /api/v2/users endpoint are returning a 503 Service Unavailable error.
TID-80006708,2024-01-07 18:04:00,Web,Technical Issue,Urgent,Mobile app drains battery,"Every time I click 'Save' on a new project, I get a generic 'Error 500: Internal Server Error'."
TID-40192667,2024-01-07 00:34:00,Email,Technical Issue,High,File export failing for large datasets,"When I try to access the dashboard page, it takes over a minute to load. Other sites are fine."
TID-5BF5EB95,2024-01-04 09:48:00,Email,Account Management,Medium,How do I delete my account?,I've tried the 'Forgot Password' link several times for username 'demo_user@example.net' but I'm not receiving the email. I checked my spam folder.
TID-62CDD86C,2024-01-07 23:40:00,Phone,Technical Issue,Urgent,Mobile app drains battery,"I am an admin, but I keep getting a 'Permission Denied' error when I try to upload a PDF file. This started happening today."
TID-44280E64,2024-01-03 04:00:00,Phone,Technical Issue,High,Dashboard widgets not refreshing,The search feature is not finding documents that I know exist. It seems to be an issue with recently indexed content.
TID-A29F6CA4,2024-01-07 05:39:00,API,Billing & Payment,High,Incorrect amount on invoice,Could you please provide PDF copies of all invoices for my account (50933) for the last fiscal year?
TID-9F4EC494,2024-01-02 08:28:00,Email,Technical Issue,Medium,Error message when saving a new project,"I'm trying to export a report with 10000 rows to CSV, but it times out with the error '500_INTERNAL_SERVER_ERROR'."
TID-AED885C5,2024-01-05 16:50:00,Email,Technical Issue,Medium,Unable to upload files - Permission Denied,The search feature is not finding documents that I know exist. It seems to be an issue with recently indexed content.
TID-C4B4A9DD,2024-01-03 06:00:00,Email,Product Inquiry,Low,Do you offer training or webinars?,I am often on the go and would love to access my data from a mobile app. Is one available for iOS or Android?
TID-1FD18838,2024-01-04 09:48:00,Phone,Account Management,High,How do I delete my account?,I've tried the 'Forgot Password' link several times for username 'test@example.org' but I'm not receiving the email. I checked my spam folder.
TID-ECAE0E6C,2024-01-05 15:44:00,Phone,Billing & Payment,High,How to upgrade my subscription?,"My attempt to renew my subscription failed, but my bank statement shows a charge from your company. Please investigate."
TID-11F523D3,2024-01-06 19:12:00,Phone,Technical Issue,Medium,File export failing for large datasets,"Every time I click 'Save' on a new project, I get a generic 'Error 500: Internal Server Error'."
TID-4660FF65,2024-01-03 00:10:00,Email,Technical Issue,Medium,File export failing for large datasets,The data on my main dashboard appears to be stale. It's stuck on data from this morning at 12:00 PM. Clearing cache did not help.
TID-1A53EAEC,2024-01-04 19:20:00,Email,Billing & Payment,Medium,Incorrect amount on invoice,"My attempt to renew my subscription failed, but my bank statement shows a charge from your company. Please investigate."
TID-62779F82,2024-01-01 20:12:00,Phone,Account Management,Medium,Need to change the primary email,I've tried the 'Forgot Password' link several times for username 'test@example.org' but I'm not receiving the email. I checked my spam folder.
TID-95DFE58A,2024-01-03 12:44:00,Web,Technical Issue,High,Unable to upload files - Permission Denied,"Every time I click 'Save' on a new project, I get a generic 'Error 500: Internal Server Error'."
TID-570C1FEB,2024-01-05 19:10:00,Email,Product Inquiry,Low,Do you offer training or webinars?,"For compliance reasons, I need to know your data retention policy. How long is data stored after it's deleted from the UI?"
TID-06508B0E,2024-01-01 22:12:00,Email,Billing & Payment,Low,Payment failed but my card was charged,"Invoice INV-2025-4900 shows a total of $318.00, but it should be $155.00. It seems I was double-charged."
TID-4DE248B4,2024-01-04 08:40:00,Email,Product Inquiry,Low,Is there a mobile app?,"For compliance reasons, I need to know your data retention policy. How long is data stored after it's deleted from the UI?"
TID-C17610F5,2024-01-04 06:01:00,Web,Account Management,Low,New user invitation link has expired,I've tried the 'Forgot Password' link several times for username 'test@example.org' but I'm not receiving the email. I checked my spam folder.
TID-8F41E7EE,2024-01-03 17:06:00,Phone,Technical Issue,High,Search functionality not returning all results,"Every time I click 'Save' on a new project, I get a generic 'Error 500: Internal Server Error'."
TID-78537465,2024-01-08 07:31:00,Email,Technical Issue,Medium,Error message when saving a new project,The data on my main dashboard appears to be stale. It's stuck on data from this morning at 12:00 PM. Clearing cache did not help.
TID-572B1BB4,2024-01-04 15:00:00,Phone,Billing & Payment,Low,Payment failed but my card was charged,I want to upgrade from the 'Pro' plan to the 'Enterprise' plan. How does proration work?
TID-4F446CFD,2024-01-02 16:30:00,Phone,Technical Issue,Medium,Search functionality not returning all results,"Since the last update, the mobile app is using a significant amount of battery, even in the background. My device is a iPhone 15 Pro."
TID-31E93037,2024-01-03 21:04:00,Email,Product Inquiry,Low,How to export data to PDF?,"For compliance reasons, I need to know your data retention policy. How long is data stored after it's deleted from the UI?"
TID-DA029507,2024-01-05 11:05:00,Phone,Technical Issue,High,File export failing for large datasets,"Since the last update, the mobile app is using a significant amount of battery, even in the background. My device is a Samsung Galaxy S24."
TID-32BCA837,2024-01-01 19:48:00,Web,Technical Issue,Medium,Error message when saving a new project,"When I try to access the analytics page page, it takes over a minute to load. Other sites are fine."
TID-608B39BD,2024-01-10 09:11:00,Web,Technical Issue,Medium,Error message when saving a new project,The data on my main dashboard appears to be stale. It's stuck on data from this morning at 10:30 AM. Clearing cache did not help.
TID-FB4CBB51,2024-01-08 06:00:00,Web,Technical Issue,Medium,Application crashing on startup,"I am an admin, but I keep getting a 'Permission Denied' error when I try to upload a ZIP archive file. This started happening today."
TID-E70D16FE,2024-01-04 11:00:00,Web,Billing & Payment,Low,Question about my latest invoice,"My attempt to renew my subscription failed, but my bank statement shows a charge from your company. Please investigate."
TID-A07E5481,2024-01-03 15:08:00,Web,Account Management,Medium,Unable to reset password,The manager of our corporate account has left the company. I need to take over ownership. What are the next steps?
TID-8F7A9C5C,2024-01-05 01:31:00,Phone,Account Management,High,New user invitation link has expired,I am no longer using this service and wish to permanently delete my account and all associated data.
TID-239B23C5,2024-01-07 15:06:00,Email,Product Inquiry,Low,Integration with third-party calendar apps,I am often on the go and would love to access my data from a mobile app. Is one available for iOS or Android?
TID-C3ADE163,2024-01-06 07:50:00,Phone,Account Management,Medium,User account locked,My account is locked due to too many failed login attempts. I need urgent access for a presentation. Please unlock username 'demo_user@example.net'.
TID-526A8123,2024-01-09 16:08:00,Phone,Technical Issue,Medium,Unable to upload files - Permission Denied,"Since the last update, the mobile app is using a significant amount of battery, even in the background. My device is a Google Pixel 8."
TID-B466B711,2024-01-09 15:54:00,Web,Account Management,Low,How do I delete my account?,My account is locked due to too many failed login attempts. I need urgent access for a presentation. Please unlock username 'user@example.com'.
TID-39DE44A9,2024-01-10 07:22:00,API,Account Management,Medium,Unable to reset password,I am no longer using this service and wish to permanently delete my account and all associated data.
TID-9957B10C,2024-01-09 01:27:00,Phone,Technical Issue,Medium,API returning 503 errors,The data on my main dashboard appears to be stale. It's stuck on data from this morning at 08:00 AM. Clearing cache did not help.
TID-52878181,2024-01-06 15:00:00,Email,Billing & Payment,High,How to upgrade my subscription?,Could you please provide PDF copies of all invoices for my account (50933) for the last fiscal year?
TID-E2868378,2024-01-05 03:45:00,Web,Technical Issue,Medium,Website is loading very slowly,"I'm trying to export a report with 100000 rows to CSV, but it times out with the error 'ERR_FAILED'."
TID-90509147,2024-01-04 06:08:00,Email,Account Management,Medium,How do I delete my account?,"I sent an invite to a new team member, but the link expired. Can you please resend it to 'new.hire@example.org'?"
TID-AC55E0D6,2024-01-11 15:00:00,Web,Product Inquiry,Low,How to export data to PDF?,I need to export a report to PDF for a presentation. I can only see CSV and Excel options. Is this possible?
TID-D2FD30CC,2024-01-03 06:28:00,Email,Technical Issue,High,Application crashing on startup,"I'm trying to export a report with 50000 rows to CSV, but it times out with the error 'ERR_TIMEOUT'."
TID-EF682391,2024-01-03 15:10:00,Email,Account Management,Medium,Need to change the primary email,I need to update the primary email on my account from 'old.user@example.com' to 'new.hire@example.org'. What's the process?
TID-F086A50A,2024-01-10 03:00:00,Web,Billing & Payment,High,Incorrect amount on invoice,I am looking at invoice INV-2025-4900 and I don't understand the charge for 'API Usage Fee'. Can you clarify?
TID-6B658065,2024-01-06 13:53:00,Web,Technical Issue,Medium,Unable to upload files - Permission Denied,"I'm trying to export a report with 100000 rows to CSV, but it times out with the error '500_INTERNAL_SERVER_ERROR'."
TID-1761F2FB,2024-01-09 02:36:00,Email,Product Inquiry,Low,How to export data to PDF?,My team is new to your platform and we would like to get up to speed. Do you offer any live training sessions?
TID-E41FB257,2024-01-07 13:21:00,Email,Account Management,Medium,Need to change the primary email,I am no longer using this service and wish to permanently delete my account and all associated data.
TID-4132B78B,2024-01-10 07:30:00,Web,General Feedback,Low,The onboarding process could be improved,I think it would be great if you could add a dark mode to the UI. It would be much easier on the eyes.
TID-060AF0C0,2024-01-10 04:47:00,Phone,Product Inquiry,Low,Data retention policy clarification,I want to sync project deadlines from your platform to my Google Calendar. Do you have an integration for that?
TID-8815B70F,2024-01-10 17:24:00,Email,Technical Issue,High,Website is loading very slowly,"I am an admin, but I keep getting a 'Permission Denied' error when I try to upload a PDF file. This started happening today."
TID-480122E8,2024-01-02 22:41:00,Email,Technical Issue,High,API returning 503 errors,"I am an admin, but I keep getting a 'Permission Denied' error when I try to upload a CSV file. This started happening today."
TID-9263F137,2024-01-05 00:06:00,Email,Billing & Payment,Medium,Received fraud alert after payment,I want to upgrade from the 'Basic' plan to the 'Pro' plan. How does proration work?
TID-59593870,2024-01-10 18:00:00,Web,Technical Issue,High,Mobile app drains battery,The search feature is not finding documents that I know exist. It seems to be an issue with recently indexed content.
TID-38068D42,2024-01-04 05:00:00,Email,Account Management,High,User account locked,I am no longer using this service and wish to permanently delete my account and all associated data.
TID-57833F18,2024-01-09 08:48:00,Web,Product Inquiry,Low,Is it possible to customize report templates?,My team is new to your platform and we would like to get up to speed. Do you offer any live training sessions?
TID-BB31E5A5,2024-01-09 19:24:00,Web,General Feedback,Low,Suggestion for a new feature,"As a new user, I found the settings menu difficult to navigate. The icons weren't very intuitive."
TID-A2F45B2A,2024-01-06 07:09:00,Phone,Product Inquiry,Low,Do you offer training or webinars?,I want to sync project deadlines from your platform to my Google Calendar. Do you have an integration for that?
TID-E16489C9,2024-01-08 16:00:00,API,General Feedback,Low,Excellent customer support experience,I think it would be great if you could add a dark mode to the UI. It would be much easier on the eyes.
TID-DC845A3C,2024-01-12 22:18:00,Phone,Account Management,High,Need to change the primary email,I need to update the primary email on my account from 'old.user@example.com' to 'new.hire@example.org'. What's the process?
TID-B531383F,2024-01-12 12:26:00,Email,Technical Issue,Low,File export failing for large datasets,"I am an admin, but I keep getting a 'Permission Denied' error when I try to upload a PDF file. This started happening today."
TID-15F84BAC,2024-01-12 07:10:00,Email,Product Inquiry,Low,Is it possible to customize report templates?,I want to sync project deadlines from your platform to my Google Calendar. Do you have an integration for that?
TID-4044595D,2024-01-08 06:36:00,Email,Technical Issue,High,API returning 503 errors,"I am an admin, but I keep getting a 'Permission Denied' error when I try to upload a PDF file. This started happening today."
TID-4D125D65,2024-01-03 16:35:00,Web,Billing & Payment,High,Request for past invoices,"Invoice INV-2025-4900 shows a total of $318.00, but it should be $155.00. It seems I was double-charged."
TID-CF7FCF3A,2024-01-05 10:20:00,Web,Technical Issue,High,Unable to upload files - Permission Denied,"I am an admin, but I keep getting a 'Permission Denied' error when I try to upload a ZIP archive file. This started happening today."
TID-E90898DA,2024-01-05 20:48:00,API,Billing & Payment,Low,Incorrect amount on invoice,"My attempt to renew my subscription failed, but my bank statement shows a charge from your company. Please investigate."
TID-87A90B90,2024-01-02 12:08:00,Email,Technical Issue,Medium,Application crashing on startup,Our integration is failing because all calls to the /api/v2/data endpoint are returning a 503 Service Unavailable error.
TID-6AE948E5,2024-01-09 13:11:00,Email,Technical Issue,Urgent,Website is loading very slowly,The data on my main dashboard appears to be stale. It's stuck on data from this morning at 12:00 PM. Clearing cache did not help.
TID-66FDD86D,2024-01-09 19:30:00,Web,Account Management,Medium,User account locked,I need to update the primary email on my account from 'former.employee@example.org' to 'new.user@example.com'. What's the process?
TID-30C7A429,2024-01-13 20:29:00,Web,Account Management,High,New user invitation link has expired,My account is locked due to too many failed login attempts. I need urgent access for a presentation. Please unlock username 'demo_user@example.net'.
TID-8E2ADD76,2024-01-02 05:16:00,Email,Technical Issue,High,Search functionality not returning all results,"Every time I click 'Save' on a new project, I get a generic 'Error 500: Internal Server Error'."
TID-D30023B2,2024-01-10 04:39:00,Web,Billing & Payment,Medium,Question about my latest invoice,"My attempt to renew my subscription failed, but my bank statement shows a charge from your company. Please investigate."
TID-C7D8BF98,2024-01-03 20:02:00,Email,Product Inquiry,Low,Is it possible to customize report templates?,My team is new to your platform and we would like to get up to speed. Do you offer any live training sessions?
TID-FFB9CE0E,2024-01-13 02:35:00,Email,Product Inquiry,Low,Data retention policy clarification,I want to sync project deadlines from your platform to my Google Calendar. Do you have an integration for that?
TID-6FAA6CA5,2024-01-11 10:48:00,Web,Billing & Payment,Medium,Request for past invoices,I want to upgrade from the 'Standard' plan to the 'Enterprise' plan. How does proration work?
TID-197B9278,2024-01-13 11:27:00,Phone,Technical Issue,Medium,Search functionality not returning all results,The desktop application closes immediately after I launch it. I have already tried reinstalling and restarting. OS: Ubuntu 22.04.
TID-F0CA93CF,2024-01-07 09:50:00,Email,Account Management,Medium,Need to change the primary email,I am no longer using this service and wish to permanently delete my account and all associated data.
TID-EF11CD3C,2024-01-04 08:33:00,Email,Technical Issue,Low,Dashboard widgets not refreshing,The desktop application closes immediately after I launch it. I have already tried reinstalling and restarting. OS: Windows 11.
TID-C054A924,2024-01-11 22:20:00,Phone,Technical Issue,Medium,Search functionality not returning all results,"Since the last update, the mobile app is using a significant amount of battery, even in the background. My device is a Samsung Galaxy S24."
TID-91E6C983,2024-01-12 07:58:00,Email,Billing & Payment,Medium,How to upgrade my subscription?,"Invoice INV-2025-4900 shows a total of $318.00, but it should be $155.00. It seems I was double-charged."
TID-383C31E5,2024-01-14 07:30:00,Web,Account Management,Low,Need to change the primary email,I am no longer using this service and wish to permanently delete my account and all associated data.
